MATEMÁTICAS I;AD0004
MÉTODOS CUANTITATIVOS PARA ADMINISTRACIÓN;AD0020
ECONOMÍA LATINOAMERICANA;CO0085
HISTORIA DE AMÉRICA LATINA;CO0053
ECONOMÍA COLOMBIANA;CO0096
FUNDAMENTOS DE PENSAMIENTO ECONÓMICO;CO0066
MATEMÁTICAS II;AD0011
ESTADÍSTICA;AD0016
GERENCIA DE LA INFORMACIÓN;IF0050
ANÁLISIS Y DISEÑO DE SOFTWARE;IF0035
PRODUCCIÓN II;ID0105
PRODUCCIÓN I;ID0104
ESTUDIO DEL TRABAJO;ID0042
INGLÉS IV;AD0028
INGLÉS II;AD0014
PRÁCTICA DOCENTE III;ED0055
TRABAJO DE GRADO;ED0052
PROYECTO DE PRÁCTICA III;ED0174
