AD0049;SEMINARIO DE PROYECTO DE GRADO
EC0245;Geopolítica
CO0103;COMPRENSION LECTORA DE INGLÉS II
DE0235;DCHOS. HUMANOS LABORALES (SEMESTRALIZADO)
DE0243;DERECHO LABORAL ADMINISTRATIVO (SEMESTRALIZADO)
DE0201;TEORIA DE LAS OBLIGACIONES
ID0041;ESTADÍSTICA II
ID0003;ADMINISTRACIÓN FINANCIERA
IF0043;GERENCIA DE PROYECTOS
ID0019;CONTROL ESTADÍSTICO DE  LA CALIDAD
CO0104;GERENCIA FINANCIERA
CO0124;FINANCIERA ESPECIALIZACIÓN
CO0109;EVALUACIÓN DE PROYECTOS
CO0105;MODELOS DE GESTIÓN Y HABILIDADES DE DIRECCIÓN
CO0100;PROCESOS DE CONTROL II
AD0054;Consultoria
AD0057;PROSPECTIVA Y SOSTENIBILIDAD
DE0091;DERECHO PROCESAL CIVIL II
CO0102;OPCIÓN DE GRADO I (Para estudiantes del noveno semestre)
CO0107;OPCIÓN DE GRADO II
ED0187;FILOSOFÍA LATINOAMERICANA
ED0178;FILOSOFÍA ÉTICO POLÍTICA
ED0152;FUNDAMENTOS DE FILOSOFÍA
ED0151;COMPETENCIAS COMUNICATIVAS I
ID0063;GESTIÓN POR PROCESOS
ID0060;GESTIÓN DE LA CALIDAD
CO0060;CONTABILIDAD FINANCIERA I
CO0063;CONTABILIDAD FINANCIERA II
CO0081;SOFTWARE CONTABLE
CO0101;REVISORIA FISCAL
DE0233;DCHOS. FUNDAMENTALES Y JURISPRUDENCIA (SEMESTRALIZADO)
DE0012;CONSULTORIO JURIDICO III
CO0050;FUNDAMENTOS DE PENSAMIENTO ADMINISTRATIVO
CO0086;ANÁLISIS CONTABLE
DE0082;DERECHO PENAL GENERAL II
EC0260;Economía laboral
EC0220;Teoría de Juegos
ID0034;ELECTRICIDAD
ID0092;MAGNETISMO
DE0245;DERECHO TRIBUTARIO (semestralizado)
ID0131;GERENCIA DE VENTAS
ID0084;INVESTIGACIÓN DE MERCADOS
DE0121;ETICA - DERECHO DISCIPLINARIO
AD0021;INGLÉS III
AD0007;INGLÉS I
IF0028;ESTRUCTURA DE DATOS
IF0036;INGENIERÍA DE SOFTWARE I
IF0049;LEGISLACIÓN INFORMÁTICA
ID0088;LEGISLACIÓN GENERAL
ID0043;ÉTICA
DE0009;CINE, LITERATURA Y DERECHO (ELECTIVA II SEMESTRE)
ID0147;AUDITORIA DE LA INFORMACIÓN
ID0045;EVALUACIÓN DE PROYECTOS
ID0121;SISTEMAS DE INFORMACIÓN
EC0242;Planificación económica
ID0150;EXPRESIÓN ORAL Y ESCRITA
EC0208;Macroeconomía I
EC0202;Introducción a la economía Colombiana
EC0215;Macroeconomía II
EC0227;Macroeconomía IV: Macroeconomía dinámica
DE0240;DCHO. PENAL DEL INFANTE Y DEL ADOLESCENTE (SEMESTRALIZADO)
DE0162;LEGISLACION DE MENORES
AD0035;DERECHO LABORAL
AD0022;INVESTIGACIÓN DE MERCADOS
ID0129;COMPORTAMIENTO DEL CONSUMIDOR
ID0024;DISEÑO DE PRODUCTO
ID0095;MATERIALES Y HERRAMIENTAS
ID0118;SEMINARIOS DE ACTUALIZACIÓN
ID0126;GESTIÓN DE INVENTARIOS
ID0090;LOGÍSTICA
DE0242;CONTRATACIÓN ESTATAL (SEMESTRALIZADO)
AD0010;SOCIOLOGÍA
DE0236;MEDICINA LEGAL (SEMESTRALIZADO)
AD0015;COMPORTAMIENTO ORGANIZACIONAL
DE0058;DERECHO DE FAMILIA
AD0037;GESTIÓN DE PROYECTOS
EC0211;Economía Latinoamericana
EC0200;Principios de economía
CO0093;TRIBUTARIA II
CO0072;SEMINARIO DE INVESTIGACIÓN II
EC0203;Pensamiento económico
EC0233;Economía colombiana
EC0209;Metodología de la Investigación
EC0232;Análisis económico
CO0055;SEMINARIO HUMANÍSTICO I
CO0083;TEORÍA CONTABLE
ED0156;INVESTIGACIÓN II TEORÍA Y PRAXIS DE LAS CIENCIAS SOCIALES
ED0165;INVESTIGACIÓN III ENFOQUES METODOLÓGICOS
ED0182;INVESTIGACIÓN V INVESTIGACIÓN ACCIÓN PARTICIPATIVA
ED0147;INVESTIGACIÓN I FUNDAMENTOS
ED0176;HISTORIA MODERNA Y CONTEMPORÁNEA
AD0038;DERECHO COMERCIAL
EC0213;Álgebra  lineal
EC0219;Programación lineal
AD0019;FUNDAMENTOS DE MERCADEO
CO0069;ESTADÍSTICA
EC0235;Econometría II
AD0029;ENTORNO Y COYUNTURA ECONÓMICA
DE0237;CRIMINOLOGÍA (SEMESTRALIZADO)
ED0164;PEDAGOGÍA III DISCURSO FRANCÓFONO Y ANGLÓFONO
ED0155;PEDAGOGÍA II MODELOS PEDAGÓGICOS Y TEORÍAS PSICOLÓGICAS
ED0172;PEDAGOGÍA IV PEDAGOGÍA, SUBJETIVIDAD Y ESCUELA
DE0232;MEDIO AMBIENTE Y DESARROLLO (SEMESTRALIZADA)
CO0067;DERECHO SOCIETARIO
ID0155;ECONOMÍA Y MERCADOS
ID0053;FUNDAMENTOS DE MERCADOS
CO0089;PRESUPUESTOS Y PRONOSTICOS
CO0068;GESTIÓN DE COSTOS I
IF0053;ELECTIVA DE PROFUNDIZACIÓN II
IF0041;INGENIERÍA DE SOFTWARE II
IF0045;COMPILADORES
ID0116;SEMINARIO DE INVESTIGACIÓN I
ID0143;SEMINARIO DE INVESTIGACIÓN II
ID0059;GESTIÓN ADMINISTRATIVA
ID0152;INTRODUCCIÓN A LA INGENIERÍA
EC0210;Expresión oral y escrita
AD0002;HABILIDADES COMUNICATIVAS
CO0076;CONTABILIDAD FINANCIERA IV
CO0080;CONTABILIDAD FINANCIERA V
CO0071;CONTABILIDAD FINANCIERA III
DE0008;CÁTEDRA UNIVERSITARIA
ED0051;MEDIO AMBIENTE
AD0033;ADMINISTRACIÓN FINANCIERA
AD0005;FUNDAMENTOS DE CONTABILIDAD
AD0055;Diagnóstico y Evaluación de la Gestión
ED0168;ESPACIO GEOGRÁFICO EURO ASIÁTICO
ED0185;ESPACIO GEOGRÁFICO AMERICANO
ED0175;USO DE LAS TIC EN LAS CCSS
ED0177;ESPACIO GEOGRÁFICO AFRICANO
ED0150;TEORÍA DE LA GEOGRAFÍA
DE0238;CRIMINALISTICA (SEMESTRALIZADO)
CO0077;ÁLGEBRA Y PROGRAMACIÓN LÍNEAL
AD0027;DERECHO CONSTITUCIONAL
ID0136;ELECTIVA LIBRE
ID0099;METROLOGÍA
ED0181;PEDAGOGÍA V: PEDAGOGÍA CRÍTICA CONTEXTO LATINOAMERICANO
ED0169;SOCIOLOGÍA DE LA EDUCACIÓN
ED0161;ANTROPOLOGÍA SOCIAL Y CULTURAL
ED0039;INVESTIGACIÓN VI
ED0146;PEDAGOGÍA I FUNDAMENTOS
ID0040;ESTADÍSTICA I
ID0086;INVESTIGACIÓN DE OPERACIONES II
ED0046;MATEMÁTICAS II
ID0107;PROGRAMACIÓN LINEAL
ED0040;MATEMÁTICAS I
EC0216;Medición económica
CO0099;TRIBUTARIA III
CO0073;ORGANIZACIONES
CO0065;PROCESOS ADMINISTRATIVOS
ID0127;GESTIÓN DE ALMACENAMIENTO
ID0025;DISTRIBUCIÓN EN PLANTA
AD0056;PENSAMIENTO COMPLEJO Y SISTÉMICO
AD0025;GESTIÓN DEL TALENTO HUMANO
IF0039;SIMULACIÓN
IF0057;ELECTIVA COMPLEMENTARIA II
IF0037;ADMINISTRACIÓN SERVIDORES LINUX
IF0030;PROGRAMACIÓN DISPOSITIVOS MOVILES
CO0133;Normas Internacionales de Información (NIF)
AD0030;PRODUCCIÓN
AD0032;GESTIÓN PÚBLICA
EC0263;Nueva gerencia pública
EC0243;Políticas públicas
ID0004;ALGEBRA LINEAL
CO0087;TRIBUTARIA I
ID0087;INVESTIGACIONES DE OPERACIONES I
DE0241;DERECHO DISCIPLINARIO (SEMESTRALIZADO)
ID0065;HUMANIDADES
ID0091;MACROECOMÍA
IF0032;ECONOMIA GENERAL MACRO Y MICRO
ID0100;MICROECONOMÍA
CO0095;COMPRENSION LECTORA DE INGLÉS I
DE0171;NEGOCIOS INTERNACIONALES  (ELECTIVA IV SEMESTRE)
ED0043;ECONOMÍA COLOMBIANA
ED0159;HISTORIA ANTIGUA
ED0167;HISTORIA MEDIEVAL
ED0037;ECONOMÍA GENERAL
AD0060;ENFOQUES DE EVALUACIÓN Y TRANSFORMACIÓN DE LAS PERSONAS EN LA ORGANIZACIÓN
AD0062;PLAN DE MERCADEO
AD0001;PENSAMIENTO ADMINISTRATIVO I
AD0023;FUNDAMENTOS DE MACROECONOMÍA
AD0008;PENSAMIENTO ADMINISTRATIVO II
